catalog,series,nside,delta_disc_mas,cdf
ucac4,before,64,3.2139999999999986,0.14276485788113696
ucac4,before,64,3.2300000000000004,0.14343119900710086
ucac4,before,64,3.2459999999999996,0.14409754013306475
ucac4,before,64,3.263,0.14476388125902867
ucac4,before,64,3.282,0.14543022238499256
ucac4,before,64,3.2969999999999997,0.14610165008443712
ucac4,before,64,3.311,0.14676799121040102
ucac4,before,64,3.3249999999999993,0.14743433233636494
ucac4,before,64,3.3400000000000007,0.14810067346232883
ucac4,before,64,3.354999999999997,0.14876701458829275
ucac4,before,64,3.3680000000000003,0.14943335571425664
ucac4,before,64,3.3820000000000014,0.15009969684022056
ucac4,before,64,3.395999999999999,0.1507711245396651
ucac4,before,64,3.4110000000000005,0.15143746566562902
ucac4,before,64,3.4269999999999996,0.1521038067915929
ucac4,before,64,3.4419999999999993,0.1527701479175568
ucac4,before,64,3.4559999999999995,0.15343648904352072
ucac4,before,64,3.471,0.15410283016948462
ucac4,before,64,3.4840000000000018,0.15476917129544854
ucac4,before,64,3.501,0.15544059899489307
ucac4,before,64,3.5139999999999993,0.156106940120857
ucac4,before,64,3.5300000000000002,0.15677328124682088
ucac4,before,64,3.5440000000000005,0.1574396223727848
ucac4,before,64,3.5599999999999987,0.1581059634987487
ucac4,before,64,3.5759999999999996,0.15877230462471262
ucac4,before,64,3.591,0.15944373232415715
ucac4,before,64,3.6060000000000003,0.16011007345012107
ucac4,before,64,3.622,0.16077641457608496
ucac4,before,64,3.637999999999999,0.16144275570204888
ucac4,before,64,3.6510000000000002,0.16210909682801278
ucac4,before,64,3.665,0.16277543795397667
ucac4,before,64,3.679999999999999,0.1634417790799406
ucac4,before,64,3.694000000000001,0.16411320677938512
ucac4,before,64,3.709999999999999,0.16477954790534904
ucac4,before,64,3.724,0.16544588903131294
ucac4,before,64,3.739,0.16611223015727686
ucac4,before,64,3.753,0.16677857128324075
ucac4,before,64,3.7669999999999995,0.16744491240920467
ucac4,before,64,3.7829999999999995,0.16811125353516856
ucac4,before,64,3.7970000000000006,0.16878268123461312
ucac4,before,64,3.815,0.16944902236057702
ucac4,before,64,3.832,0.17011536348654094
ucac4,before,64,3.8469999999999995,0.17078170461250483
ucac4,before,64,3.8629999999999995,0.17144804573846875
ucac4,before,64,3.8789999999999996,0.17211438686443264
ucac4,before,64,3.8919999999999995,0.17278581456387718
ucac4,before,64,3.907,0.1734521556898411
ucac4,before,64,3.922999999999999,0.174118496815805
ucac4,before,64,3.938,0.1747848379417689
ucac4,before,64,3.9510000000000005,0.1754511790677328
ucac4,before,64,3.9659999999999997,0.17611752019369672
ucac4,before,64,3.978999999999999,0.17678386131966062
ucac4,before,64,3.9940000000000007,0.17745528901910518
ucac4,before,64,4.015,0.17812163014506907
ucac4,before,64,4.029,0.178787971271033
ucac4,before,64,4.045999999999999,0.17945431239699688
ucac4,before,64,4.058999999999999,0.1801206535229608
ucac4,before,64,4.074,0.1807869946489247
ucac4,before,64,4.088000000000001,0.18145842234836926
ucac4,before,64,4.106000000000002,0.18212476347433315
ucac4,before,64,4.121999999999999,0.18279110460029704
ucac4,before,64,4.137,0.18345744572626096
ucac4,before,64,4.151999999999999,0.18412378685222486
ucac4,before,64,4.167,0.18479012797818878
ucac4,before,64,4.184,0.18545646910415267
ucac4,before,64,4.199999999999999,0.18612789680359723
ucac4,before,64,4.215,0.18679423792956112
ucac4,before,64,4.231,0.18746057905552505
ucac4,before,64,4.247000000000001,0.18812692018148894
ucac4,before,64,4.263999999999999,0.18879326130745286
ucac4,before,64,4.280000000000001,0.18945960243341675
ucac4,before,64,4.295,0.19012594355938067
ucac4,before,64,4.308,0.1907973712588252
ucac4,before,64,4.323,0.1914637123847891
ucac4,before,64,4.339,0.19213005351075302
ucac4,before,64,4.356,0.1927963946367169
ucac4,before,64,4.371,0.19346273576268083
ucac4,before,64,4.386,0.19412907688864472
ucac4,before,64,4.402,0.19480050458808928
ucac4,before,64,4.414,0.19546684571405318
ucac4,before,64,4.428999999999999,0.1961331868400171
ucac4,before,64,4.442999999999998,0.196799527965981
ucac4,before,64,4.458,0.1974658690919449
ucac4,before,64,4.472,0.1981322102179088
ucac4,before,64,4.487000000000001,0.19879855134387273
ucac4,before,64,4.501999999999999,0.19946997904331726
ucac4,before,64,4.518000000000001,0.20013632016928118
ucac4,before,64,4.534999999999999,0.20080266129524507
ucac4,before,64,4.5489999999999995,0.20146900242120896
ucac4,before,64,4.565999999999999,0.20213534354717289
ucac4,before,64,4.581999999999997,0.20280168467313678
ucac4,before,64,4.598000000000001,0.2034680257991007
ucac4,before,64,4.613999999999997,0.20413945349854523
ucac4,before,64,4.633,0.20480579462450915
ucac4,before,64,4.648,0.20547213575047305
ucac4,before,64,4.664,0.20613847687643697
ucac4,before,64,4.682,0.20680481800240086
ucac4,before,64,4.696,0.20747115912836478
ucac4,before,64,4.711,0.2081425868278093
ucac4,before,64,4.7269999999999985,0.20880892795377323
ucac4,before,64,4.742000000000001,0.20947526907973713
ucac4,before,64,4.758000000000001,0.21014161020570102
ucac4,before,64,4.774000000000001,0.21080795133166494
ucac4,before,64,4.788,0.21147429245762883
ucac4,before,64,4.803000000000004,0.21214063358359275
ucac4,before,64,4.819000000000001,0.21281206128303728
ucac4,before,64,4.836,0.2134784024090012
ucac4,before,64,4.851999999999999,0.2141447435349651
ucac4,before,64,4.866999999999999,0.21481108466092902
ucac4,before,64,4.8820000000000014,0.2154774257868929
ucac4,before,64,4.897,0.21614376691285683
ucac4,before,64,4.913,0.21681010803882073
ucac4,before,64,4.93,0.21748153573826529
ucac4,before,64,4.947000000000001,0.21814787686422918
ucac4,before,64,4.963,0.2188142179901931
ucac4,before,64,4.978999999999999,0.219480559116157
ucac4,before,64,4.994,0.22014690024212089
ucac4,before,64,5.007999999999999,0.2208132413680848
ucac4,before,64,5.022,0.22148466906752934
ucac4,before,64,5.038,0.22215101019349326
ucac4,before,64,5.052,0.22281735131945715
ucac4,before,64,5.068,0.22348369244542107
ucac4,before,64,5.082,0.22415003357138497
ucac4,before,64,5.095999999999999,0.2248163746973489
ucac4,before,64,5.112,0.22548271582331278
ucac4,before,64,5.128,0.22615414352275734
ucac4,before,64,5.145,0.22682048464872123
ucac4,before,64,5.161,0.22748682577468515
ucac4,before,64,5.177,0.22815316690064905
ucac4,before,64,5.1930000000000005,0.22881950802661294
ucac4,before,64,5.209999999999999,0.22948584915257686
ucac4,before,64,5.226,0.2301572768520214
ucac4,before,64,5.242000000000001,0.2308236179779853
ucac4,before,64,5.257,0.2314899591039492
ucac4,before,64,5.271000000000001,0.23215630022991313
ucac4,before,64,5.286000000000001,0.23282264135587702
ucac4,before,64,5.303000000000001,0.23348898248184094
ucac4,before,64,5.318,0.23415532360780483
